team_name,player_report_name,position,status,updated,note,status_weight,source_url,fetched_at_utc
Golden State Warriors,J. Butler III,SF,Out For Season - Knee,,"Mon, Jan 19)",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Houston Rockets,K. Durant,PF,Day To Day - Ankle,,"Fri, Apr 24)",0.35,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Houston Rockets,S. Adams,C,Out For Season - Ankle,,"Tue, Jan 27) The Rockets said on Wednesday (Jan. 28) that Adams underwent season-ending ankle surgery.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Houston Rockets,F. VanVleet,PG,Out For Season - ACL,,"Sun, Sep 21)",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Indiana Pacers,I. Zubac,C,Out For Season - Rib,,"Thu, Mar 19) The Pacers said on Friday (Mar. 20) that Zubac will miss the rest of the season with a fractured rib.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Indiana Pacers,J. Furphy,SG,Out For Season - Knee,,"Sun, Feb 8) Furphy was diagnosed with a torn right ACL on Monday and will miss the remainder of the season, Michael Scotto of USA Today",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Indiana Pacers,T. Haliburton,PG,Out For Season - Achilles,,"Mon, Jan 26) The Pacers said on Tuesday (Jan. 27) that Haliburton will likely be in line for a relatively normal offseason and should be free of restrictions for the start of training camp next fall. LA `""> LA",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
LA Clippers,Y. Niederhauser,C,Out For Season - Foot,,"Wed, Mar 4)",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
LA Clippers,B. Beal,SG,Out For Season - Hip,,"Tue, Nov 11) Beal will undergo season-ending surgery on his left hip, as per ESPN's Shams Charania reports. LA `"">",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Los Angeles Lakers,A. Reaves,SG,Day To Day - Oblique,,"Fri, Apr 24)",0.35,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Los Angeles Lakers,L. Doncic,PG,Out - Hamstring,,"Mon, Apr 20) The Lakers said on Tuesday (Apr. 21) that Doncic is not expected to return in Round 1 versus the Rockets, per ESPN's Shams Charania. ME `""> Memphis",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Memphis Grizzlies,J. Wells,SG,Out For Season - Toe,,"Mon, Mar 30) The Grizzlies announced Tuesday that Wells underwent a successful procedure to stabilize his right great toe and will miss the remainder of the 2025-26 campaign.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Memphis Grizzlies,J. Morant,PG,Out For Season - Elbow,,"Mon, Mar 23) The Grizzlies announced on Tuesday (Mar. 24) that Morant will miss the remainder of the season.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Memphis Grizzlies,B. Clarke,PF,Out For Season - Calf,,"Mon, Mar 23)",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Memphis Grizzlies,S. Aldama,PF,Out For Season - Knee,,"Sat, Mar 14) The Grizzlies said on Sunday (Mar. 15) that Aldama will undergo a season-ending arthroscopic procedure and receive an orthobiologic injection to address discomfort in his right knee, according to Brett Siegel of ClutchPoints.com.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Memphis Grizzlies,S. Pippen Jr.,PG,Out For Season - Toe,,"Thu, Mar 12) The Grizzlies said on Friday (Mar. 13) that Pippen Jr. will miss the remainder of the 2025-26 season after undergoing a sesamoidectomy to address ongoing discomfort in his right big toe, per Michael Scotto of USA Today.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Memphis Grizzlies,Z. Edey,C,Out For Season - Ankle,,"Mon, Mar 2) The Grizzlies said that Edey will miss the remainder of the season.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Memphis Grizzlies,K. Caldwell-Pope,SG,Out For Season - Finger,,"Wed, Feb 18) The Grizzlies announced Thursday that Caldwell-Pope underwent surgery to address the misalignment of his right pinky finger and will miss the remainder of the 2025-26 campaign. MI `""> Miami",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Milwaukee Bucks,K. Porter Jr.,SG,Out For Season - Knee,,"Fri, Mar 27) Bucks head coach Doc Rivers said on Saturday (Mar. 28) that he would be surprised if Porter played again this season, per Eric Nehm of The Athletic. MI `""> Minnesota",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Minnesota Timberwolves,A. Edwards,SG,Day To Day - Undisclosed,,"Sat, Apr 25) Edwards did not return to Saturday's (Apr. 25) Game 4 against the Nuggets.",0.35,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Minnesota Timberwolves,D. DiVincenzo,PG,Out For Season - Leg,,"Fri, Apr 24) DiVincenzo has been diagnosed with a torn right Achilles tendon, and he will miss the remainder of the postseason, per Shams Charania of ESPN reports. NO `"">",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Oklahoma City Thunder,I. Joe,SG,Day To Day - Personal,,"Sat, Apr 25) Joe did not play on Saturday's (Apr. 25) game 3 versus the Suns.",0.35,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
Oklahoma City Thunder,J. Williams,SG,Out - Hamstring,,"Wed, Apr 22) The Thunder said on Thursday (Apr. 23) that Williams is considered week-to-week with a Grade 1 left hamstring strain, per Shams Charania of ESPN.",1.0,https://www.covers.com/sport/basketball/nba/injuries,2026-04-26T11:52:35.444109+00:00
